train_no,step_seq,from_station,to_station,booked_srt_min,length_km
19024,69,MYG,PLJ,12,15.0
19024,70,PLJ,NIU,11,13.0
19024,71,NIU,BH,12,12.0
19024,72,BH,AKV,10,10.0
19024,73,AKV,PAO,10,10.0
19024,74,PAO,KSB,9,8.0
19024,75,KSB,KIM,9,8.0
19024,76,KIM,ST,73,23.0
19024,77,ST,MRL,23,21.0
19024,78,MRL,NVS,8,9.0
19024,79,NVS,AML,16,15.0
19024,80,AML,BIM,2,6.0
19024,81,BIM,BL,27,18.0
19024,82,BL,PAD,14,10.0
19024,83,PAD,UVD,7,6.0
19024,84,UVD,VAPI,1,8.0
19024,85,VAPI,BLD,20,13.0
19024,86,BLD,SJN,10,12.0
19024,87,SJN,UBR,6,5.0
19024,88,UBR,DRD,26,20.0
19024,89,DRD,VGN,11,12.0
19024,90,VGN,BOR,8,9.0
19024,91,BOR,PLG,10,12.0
19024,92,PLG,VR,33,31.0
19024,93,VR,BVI,28,26.0
19024,94,BVI,DDR,24,24.0
19024,95,DDR,BCT,27,6.0
22209,0,BCT,BRC,277,391.0
22209,1,BRC,RTM,210,261.0
22209,2,RTM,KOTA,165,266.0
22209,3,KOTA,NDLS,360,455.0
22210,0,NDLS,KOTA,290,457.0
22210,1,KOTA,RTM,190,266.0
22210,2,RTM,BRC,208,262.0
22210,3,BRC,BCT,297,391.0
22413,0,MAO,THVM,40,47.0
22413,1,THVM,KUDL,48,54.0
22413,2,KUDL,RN,113,139.0
22413,3,RN,PNVL,275,283.0
22413,4,PNVL,BSR,85,66.0
22413,5,BSR,ST,160,215.0
22413,6,ST,BRC,98,129.0
22413,7,BRC,KOTA,381,527.0
22413,8,KOTA,NZM,345,448.0
22414,0,NZM,KOTA,265,450.0
22414,1,KOTA,BRC,410,528.0
22414,2,BRC,ST,92,128.0
22414,3,ST,BSR,177,215.0
22414,4,BSR,PNVL,70,66.0
22414,5,PNVL,RN,275,281.0
22414,6,RN,KUDL,100,139.0
22414,7,KUDL,THVM,44,54.0
22414,8,THVM,MAO,72,46.0
22633,0,TVC,QLN,55,64.0
22633,1,QLN,KYJ,33,41.0
22633,2,KYJ,ALLP,37,43.0
22633,3,ALLP,ERS,145,57.0
22633,4,ERS,AWY,23,19.0
22633,5,AWY,TCR,42,55.0
22633,6,TCR,SRR,60,33.0
22633,7,SRR,CLT,75,86.0
22633,8,CLT,CAN,80,89.0
22633,9,CAN,KGQ,68,86.0
22633,10,KGQ,MAJN,50,47.0
22633,11,MAJN,UD,105,65.0
22633,12,UD,KAWR,178,190.0
22633,13,KAWR,MAO,73,58.0
22633,14,MAO,PERN,59,59.0
22633,15,PERN,SNDD,42,52.0
22633,16,SNDD,RN,195,129.0
22633,17,RN,CHI,70,79.0
22633,18,CHI,PNVL,203,205.0
22633,19,PNVL,BSR,85,65.0
22633,20,BSR,ST,158,215.0
22633,21,ST,BRC,98,129.0
22633,22,BRC,RTM,211,262.0
22633,23,RTM,KOTA,205,266.0
22633,24,KOTA,SWM,80,107.0
22633,25,SWM,BTE,145,179.0
22633,26,BTE,MTJ,50,33.0
22633,27,MTJ,NZM,120,128.0
22634,0,NZM,MTJ,145,130.0
22634,1,MTJ,BTE,24,33.0
22634,2,BTE,SWM,140,179.0
22634,3,SWM,KOTA,85,108.0
22634,4,KOTA,RTM,265,265.0
22634,5,RTM,BRC,248,263.0
22634,6,BRC,ST,104,128.0
22634,7,ST,BSR,265,215.0
22634,8,BSR,PNVL,100,66.0
22634,9,PNVL,CHI,224,205.0
22634,10,CHI,RN,69,76.0
22634,11,RN,SNDD,100,129.0
22634,12,SNDD,PERN,66,53.0
22634,13,PERN,MAO,95,57.0
22634,14,MAO,KAWR,55,58.0
22634,15,KAWR,UD,192,191.0
22634,16,UD,MAJN,79,62.0
22634,17,MAJN,KGQ,38,48.0
22634,18,KGQ,CAN,70,85.0
22634,19,CAN,CLT,80,89.0
22634,20,CLT,SRR,110,86.0
22634,21,SRR,TCR,52,34.0
22634,22,TCR,AWY,48,55.0
22634,23,AWY,ERS,50,19.0
22634,24,ERS,ALLP,60,57.0
22634,25,ALLP,KYJ,20,43.0
22634,26,KYJ,QLN,60,41.0
22634,27,QLN,TVC,85,65.0
22653,0,TVC,QLN,55,64.0
22653,1,QLN,KYJ,38,41.0
22653,2,KYJ,KTYM,75,55.0
22653,3,KTYM,ERN,102,59.0
22653,4,ERN,TCR,65,72.0
22653,5,TCR,SRR,47,33.0
22653,6,SRR,CLT,85,86.0
22653,7,CLT,CAN,80,89.0
22653,8,CAN,MAJN,110,133.0
22653,9,MAJN,UD,93,65.0
22653,10,UD,KAWR,140,190.0
22653,11,KAWR,MAO,58,58.0
22653,12,MAO,KRMI,32,30.0
22653,13,KRMI,RN,181,210.0
22653,14,RN,PNVL,330,284.0
22653,15,PNVL,BSR,115,65.0
22653,16,BSR,DRD,65,72.0
22653,17,DRD,VAPI,31,51.0
22653,18,VAPI,ST,110,92.0
22653,19,ST,BH,44,59.0
22653,20,BH,BRC,65,70.0
22653,21,BRC,RTM,244,262.0
22653,22,RTM,KOTA,225,266.0
22653,23,KOTA,SWM,88,107.0
22653,24,SWM,BTE,163,179.0
22653,25,BTE,MTJ,55,33.0
22653,26,MTJ,NZM,125,129.0
22654,0,NZM,MTJ,125,130.0
22654,1,MTJ,BTE,27,33.0
22654,2,BTE,SWM,127,179.0
22654,3,SWM,KOTA,77,108.0
22654,4,KOTA,RTM,240,265.0
22654,5,RTM,BRC,272,263.0
22654,6,BRC,BH,48,70.0
22654,7,BH,ST,55,58.0
22654,8,ST,VAPI,72,93.0
22654,9,VAPI,DRD,42,50.0
22654,10,DRD,BSR,92,72.0
22654,11,BSR,PNVL,80,66.0
22654,12,PNVL,RN,350,281.0
22654,13,RN,KRMI,209,210.0
22654,14,KRMI,MAO,64,29.0
22654,15,MAO,KAWR,60,58.0
22654,16,KAWR,UD,166,191.0
22654,17,UD,MAJN,160,62.0
22654,18,MAJN,CAN,105,133.0
22654,19,CAN,CLT,80,89.0
22654,20,CLT,SRR,100,86.0
22654,21,SRR,TCR,52,34.0
22654,22,TCR,ERN,135,72.0
22654,23,ERN,KTYM,77,59.0
22654,24,KTYM,KYJ,62,55.0
22654,25,KYJ,QLN,36,42.0
22654,26,QLN,TVC,85,64.0
22655,0,TVC,QLN,55,64.0
22655,1,QLN,KYJ,40,41.0
22655,2,KYJ,ALLP,35,43.0
22655,3,ALLP,ERS,110,57.0
22655,4,ERS,TCR,65,74.0
22655,5,TCR,SRR,47,33.0
22655,6,SRR,CLT,85,86.0
22655,7,CLT,CAN,80,89.0
22655,8,CAN,MAJN,110,133.0
22655,9,MAJN,UD,93,65.0
22655,10,UD,KAWR,140,190.0
22655,11,KAWR,MAO,58,58.0
22655,12,MAO,KRMI,32,30.0
22655,13,KRMI,RN,181,210.0
22655,14,RN,PNVL,330,284.0
22655,15,PNVL,BSR,105,65.0
22655,16,BSR,DRD,75,72.0
22655,17,DRD,VAPI,31,51.0
22655,18,VAPI,ST,110,92.0
22655,19,ST,BH,44,59.0
22655,20,BH,BRC,65,70.0
22655,21,BRC,RTM,244,262.0
22655,22,RTM,KOTA,225,266.0
22655,23,KOTA,SWM,88,107.0
22655,24,SWM,BTE,163,179.0
22655,25,BTE,MTJ,55,33.0
22655,26,MTJ,NZM,125,128.0
22656,0,NZM,MTJ,125,130.0
22656,1,MTJ,BTE,27,33.0
22656,2,BTE,SWM,127,179.0
22656,3,SWM,KOTA,77,108.0
22656,4,KOTA,RTM,240,265.0
22656,5,RTM,BRC,272,263.0
22656,6,BRC,BH,48,70.0
22656,7,BH,ST,55,58.0
22656,8,ST,VAPI,72,93.0
22656,9,VAPI,DRD,42,50.0
22656,10,DRD,BSR,92,72.0
22656,11,BSR,PNVL,80,66.0
22656,12,PNVL,RN,350,281.0
22656,13,RN,KRMI,209,210.0
22656,14,KRMI,MAO,64,29.0
22656,15,MAO,KAWR,60,58.0
22656,16,KAWR,UD,166,191.0
22656,17,UD,MAJN,160,62.0
22656,18,MAJN,CAN,105,133.0
22656,19,CAN,CLT,80,89.0
22656,20,CLT,SRR,100,86.0
22656,21,SRR,TCR,52,34.0
22656,22,TCR,ERS,120,74.0
22656,23,ERS,ALLP,75,57.0
22656,24,ALLP,KYJ,79,43.0
22656,25,KYJ,QLN,36,41.0
22656,26,QLN,TVC,85,65.0
22659,0,KCVL,QLN,50,58.0
22659,1,QLN,CNGR,58,61.0
22659,2,CNGR,KTYM,50,35.0
22659,3,KTYM,ERN,82,59.0
22659,4,ERN,TCR,65,72.0
22659,5,TCR,SRR,52,33.0
22659,6,SRR,CLT,75,86.0
22659,7,CLT,CAN,85,89.0
22659,8,CAN,KGQ,53,86.0
22659,9,KGQ,MAJN,75,47.0
22659,10,MAJN,UD,89,65.0
22659,11,UD,MAO,214,248.0
22659,12,MAO,RN,210,240.0
22659,13,RN,PNVL,350,284.0
22659,14,PNVL,BSR,100,65.0
22659,15,BSR,ST,172,215.0
22659,16,ST,BRC,108,129.0
22659,17,BRC,KOTA,539,527.0
22659,18,KOTA,NZM,460,448.0
22659,19,NZM,GZB,40,28.0
22659,20,GZB,MTC,43,47.0
22659,21,MTC,MOZ,35,56.0
22659,22,MOZ,RK,99,83.0
22659,23,RK,HW,65,41.0
22659,24,HW,DDN,120,52.0
22660,0,DDN,HW,90,51.0
22660,1,HW,RK,45,41.0
22660,2,RK,DBD,100,60.0
22660,3,DBD,MOZ,18,24.0
22660,4,MOZ,MTC,40,55.0
22660,5,MTC,GZB,64,48.0
22660,6,GZB,NZM,48,27.0
22660,7,NZM,KOTA,350,450.0
22660,8,KOTA,BRC,497,528.0
22660,9,BRC,ST,116,129.0
22660,10,ST,BSR,260,215.0
22660,11,BSR,PNVL,70,66.0
22660,12,PNVL,RN,330,281.0
22660,13,RN,MAO,190,238.0
22660,14,MAO,UD,268,250.0
22660,15,UD,MAJN,80,62.0
22660,16,MAJN,KGQ,38,47.0
22660,17,KGQ,CAN,75,86.0
22660,18,CAN,CLT,65,89.0
22660,19,CLT,SRR,110,86.0
22660,20,SRR,TCR,42,34.0
22660,21,TCR,ERN,90,71.0
22660,22,ERN,KTYM,75,60.0
22660,23,KTYM,CNGR,38,35.0
22660,24,CNGR,QLN,77,61.0
22660,25,QLN,KCVL,75,58.0
22917,0,BDTS,BVI,33,18.0
22917,1,BVI,BOR,56,69.0
22917,2,BOR,VAPI,47,71.0
22917,3,VAPI,BL,25,24.0
22917,4,BL,NVS,31,40.0
22917,5,NVS,ST,34,29.0
22917,6,ST,BH,44,59.0
22917,7,BH,BRC,73,70.0
22917,8,BRC,RTM,294,262.0
22917,9,RTM,BWM,128,165.0
22917,10,BWM,RMA,19,28.0
22917,11,RMA,KOTA,69,72.0
22917,12,KOTA,SWM,70,108.0
22917,13,SWM,GGC,52,63.0
22917,14,GGC,HAN,74,41.0
22917,15,HAN,BTE,62,74.0
22917,16,BTE,MTJ,61,34.0
22917,17,MTJ,FDB,112,111.0
22917,18,FDB,NZM,24,17.0
22917,19,NZM,GZB,40,28.0
22917,20,GZB,MTC,43,47.0
22917,21,MTC,MOZ,35,55.0
22917,22,MOZ,TPZ,62,52.0
22917,23,TPZ,RK,35,32.0
22917,24,RK,HW,65,41.0
22918,0,HW,RK,53,41.0
22918,1,RK,TPZ,39,32.0
22918,2,TPZ,MOZ,35,51.0
22918,3,MOZ,MTC,40,56.0
22918,4,MTC,GZB,50,47.0
22918,5,GZB,NZM,38,27.0
22918,6,NZM,FDB,18,18.0
22918,7,FDB,MTJ,125,113.0
22918,8,MTJ,BTE,24,33.0
22918,9,BTE,HAN,54,75.0
22918,10,HAN,GGC,34,40.0
22918,11,GGC,SWM,48,64.0
22918,12,SWM,KOTA,85,108.0
22918,13,KOTA,RMA,63,72.0
22918,14,RMA,BWM,21,28.0
22918,15,BWM,RTM,177,165.0
22918,16,RTM,BRC,247,262.0
22918,17,BRC,BH,60,71.0
22918,18,BH,ST,52,58.0
22918,19,ST,NVS,26,30.0
22918,20,NVS,BL,43,39.0
22918,21,BL,VAPI,42,24.0
22918,22,VAPI,BOR,65,71.0
22918,23,BOR,BVI,58,69.0
22918,24,BVI,BDTS,45,19.0
4419,0,MAO,THVM,48,51.0
4419,1,THVM,KUDL,102,53.0
4419,2,KUDL,RN,106,140.0
4419,3,RN,CHI,71,78.0
4419,4,CHI,ROHA,137,133.0
4419,5,ROHA,PNVL,70,77.0
4419,6,PNVL,BSR,80,66.0
4419,7,BSR,ST,173,215.0
4419,8,ST,BRC,108,128.0
4419,9,BRC,RTM,254,262.0
4419,10,RTM,KOTA,210,266.0
4419,11,KOTA,NZM,395,447.0
4420,0,NZM,KOTA,275,450.0
4420,1,KOTA,RTM,185,265.0
4420,2,RTM,BRC,212,263.0
4420,3,BRC,ST,98,128.0
4420,4,ST,BSR,110,215.0
4420,5,BSR,PNVL,80,66.0
4420,6,PNVL,ROHA,145,77.0
4420,7,ROHA,CHI,108,133.0
4420,8,CHI,RN,90,76.0
4420,9,RN,KUDL,153,152.0
4420,10,KUDL,THVM,44,53.0
4420,11,THVM,MAO,134,46.0
9003,0,BDTS,ST,170,251.0
9003,1,ST,BRC,85,129.0
9003,2,BRC,KOTA,314,527.0
9003,3,KOTA,NZM,251,448.0
9004,0,NZM,KOTA,268,450.0
9004,1,KOTA,BRC,237,528.0
9004,2,BRC,ST,95,128.0
9004,3,ST,BDTS,220,252.0
9005,0,BCT,BRC,267,391.0
9005,1,BRC,KOTA,358,527.0
9005,2,KOTA,NDLS,315,455.0
9006,0,NDLS,KOTA,280,457.0
9006,1,KOTA,BRC,378,528.0
9006,2,BRC,BCT,292,391.0
